"Data","Marina di Grosseto","Castiglione della Pescaia","Follonica","Piombino","Marina di Bibbona","Marina di Pisa","Pisa","Migliarino","Forte dei Marmi","La Spezia"
2011-07-19,85,41,29,44,71,35,15,20,7,NA
2011-07-26,103,28,36,38,78,41,18,16,9,22
2011-08-02,125,108,73,67,84,36,24,18,24,54
2011-08-09,132,165,82,77,212,259,106,155,56,68
2011-08-16,96,135,148,57,204,127,101,139,51,NA
2011-08-23,86,148,119,62,189,132,72,NA,42,57
2011-08-30,151,84,245,12,134,183,297,122,75,78
2011-09-06,148,91,223,8,101,201,365,118,79,86
2011-09-13,137,123,199,15,98,122,347,98,91,103
2011-09-20,103,141,13,8,87,10,313,39,84,99
2011-09-27,35,54,114,12,81,140,489,244,93,102
2011-10-04,42,69,132,17,79,151,534,268,111,126
2011-10-11,32,161,85,38,75,179,62,104,97,96
2011-10-18,27,143,74,27,34,154,55,97,82,76
2011-10-25,8,21,45,24,NA,8,45,18,75,52
2011-11-02,0,12,31,0,15,2,36,12,10,22
2011-11-08,0,0,0,0,8,4,21,0,4,0
2011-11-15,0,0,0,0,5,0,11,0,0,0
2011-11-22,0,0,0,0,0,0,0,0,0,0
2011-11-29,0,0,0,0,0,0,0,0,0,0
